id,text
1,tso ho tsua sa ka riong pa kak tuika tsat kanoa ui fe ri e lingo
2,ing a uat tsia ka e lon lo
3,a m sian pea
4,si siu jiap pe sou
5,ma su kok u a pa so pi tai tshiang ka
6,ang e la
7,pin kia bo ko lia u si lih ji tshiu phiu kuae si ko m ge kua lun ko ga ba ka hu tit king siok thaug kea l
8,a suan mo tau vre kui a
9,tiam tiunk tsiak ka kho khoa ki
10,suasi s a e ho kien tik khu
11,i hia khbr la to si sasua guo tshi tshih tshun tso
12,puh la lai lai khang si tsia tkha sio tsia
13,i hin tsik le i tua ln si bui tso si ts si tua kang tion ba si ashi sieae kuiat
14,li tsit ie homben me
15,rl pu pura kohe tsu to pauh i kioe ke kheh i ke kak au tshitue ti k singbi
16,ia lu rae si sim lang kuau ben tsiok uet kanm ta sing khu ran kian lo siu tin
17,mebe la
18,ouo kok ba si tsia pg si ebe ko khe a khu tsung te ua tshu bo la be iak khia o kok ba i
19,ka hitk tsoap pu tsit tsan jit tsi ka lua hig he ve
20,lpu ge pw sit lia tshat io ka ka si bi kng ta un pea luie to shi puian siai higiosin tng te
21,o hian pi pu lbo to poua lue khi a ilin than zio sut sian
22,a si lu ha tduai tae ki lahe o thau lung khra lu kai pone tshia ea ui hu i tsit kioh dzok ji gha iuh gue i giuap i tsa o kho tshe
23,haneh i jo a uhen botsh ri puo e pu ri
24,pi lap si ton sua vak e pi liok ki si a shiat lo t k tshua ka koatk p keo tse pi kasi tit lu sinl be
25,la hu santsioh tsin hio tay thoaobues
26,jia khi
27,e sion kia sik khi kong ko te va
28,u pit gua pa si kholehu tui li kho tik i en tshap tsuat tso og e kong h tong jit si
29,re ka u i than ka gua tou sioka tsitlu vai hin siog so si lu au si tok tsit sian
30,guo hoh a l lu la
31,taviau lok kitshat te
32,pi lang tei bo piaon te be bo a
33,tak ke tsiah t gua lun san la tst tng kua thi na puan li ting kith sioktk thun thig hing mu thok uip
34,pak keia lonk kuai a lan at khi hngtsha ke u tsitie tshi a
35,p tsu ho phinpti in to tsit hu he gia pin thang tsi ho lbo
36,o leh a tsi k tua u he ko tat ten ktha kuah li
37,tue pio ta pon tsia ho via
38,tsi ah thian hang tsinspie png t ko lo iua kinj paini thaus khua sin pn tsit plio khoh tok ku siau lo a ho tsit si guatk kho siua tsia tshiu puiou lit hio tiok tsitk pua ci a
39,poa a au o ci
40,pi ui bo tshe a ha he siv bun ta so i let liong gsok dyo si lap kiot ko et khi tsi
41,leh ki hi la r citi e s lo i sis hiloh sa si tha kho thua toh tsu
42,a sion sian ka puit pi tun thua lrh la pi e inu
43,li ki hu pua ki la u te i tsio tok si hiap i
44,go ko bua o bua lua
45,tuang si poa pa hiaun i hok tsuatp pi tsuea shu a thua suei li le
46,a e tsu kak bea khei
47,tsan sing tshia pouo lui kian pu sit loh sia pu t to ho te ti i kia hu e ka te tsu
48,tsin tsoak si phin simu hola ji bu bie pa sue uo tsit lit on han lea kamu o
49,tak hu a lio u tin tsiokp st iue voh bu ou tsiok hinsan tok koeirlr puo suan kh sa k u lo
50,gua tsi ga tam tit le a tsiun kue tshu ung tsia la tsue la
51,tuo lin ua bwe kam tea ka
52,pia mui kok i r kia ea sa ten t kho ka phen bit ko tsut tin ka tivizom ka s kuat hia ia pit kion pinu hi
53,pa ua tsu pong tsu tsiak khu
54,ua tn lon tau bi pue biae sian e lu koau bo
55,o tsi ke hui bat ti ji kho li ji e tiok uat ta siaun he hau huatk ha lia i tie e tsuan siong khat s ka tholi kho
56,gua sint
57,tshit tshi pen ue pak po po u to pin tsiu tshiak huen lok a io tsip re la tso
58,k hia
59,be toe to tshia ho tsua be tun gau pi kam si lo tuen a a ka bat ko uei t tshu la tu pe tsit l
60,puit tui ang ra bo o e si tsiong tal peh nh si tsa kah tshian ho kher
61,suah bat la cei tsa tsi o u si siuan eh khuan lalh tsia
62,tsia pio u khui oeo lu tshia tsin tsiak shian tsi i tshia sio ko bui ka toe than tan lan gue phaun 
63,pe sing tia tsi ke tan thio pw va
64,han kat shoi ua n ki tha he tui ts h sua pehtn guia khiu
65,ti ma basit kang huan ra
66,hi tshit tshit tsu tsun te hoh l tom jvo bu thian
67,ua ko gua bue a tho en eiu si k pai ak i li tsu lang tsin ho
68,t a tol kho lio tsioh le tsi a
69,a tsi la chea khi khi khi
70,lal sio kea
71,guang o ka kio ka tsit to ho loakp bo tsae tiau ua ta lang eh in a ua
72,bah ka jsit tso tsi ak si tsue tshe po hiu
73,tsun tsit kua si th bo tiant kau it toa tsi pho than khan tsi pi tsio giok ka si ten ia
74,i tsi k ka lang koi peih
75,fo mia n si uat si tsah hun eu ka tia a sitrkng tsua
76,i tse hia i la cha tit oe la kok shiatk i tsit ku gu ci tha la lo tsen sin puin lu tshio hu tsit tshing he topk sag ho kha
77,o lin pehr lh ka pu lui khi la
78,piau a jsiu uat t ke ok p k tue ui pt po
79,u ting i bia i top lieat lai a tia ban huat li thia guat kio lae tsit kua ei kia tshian lan tsia
80,pio lit ka peri koa silr tha tsio sa tsuap tsit pah ge pah tsi tshiu san tshing ge tshiangrp k to si tsu so ro lo tsumra rhaj ka tsuang lo hue hu s tha thorluz tsik e s tso pi per ka si lah o thu k po loa bi tsok hi
81,hianl suau o sun si
82,tai o si pu me kak kha
83,kian
84,ia tsio si tkhau khuet tso ka po pe tsiah po kuan si ba k tuin hon
85,to tsit khua sa ho tsan sio tjiu lu be gia tong khi tsit hua eai
86,u b po tshi un tsa bo kian la u bang it huat le lu o sian e la pi jia
87,te kia lo ja kuat kia kag si chitan iua tui
88,be bo sa le ho l lo an i ki i tsia
89,pi tshi hauo pe u le e lai a kutiu su pen ling kot si tsit o s
90,a pa pa akhuat k ka thiam
91,man kin lat tsia pon la
92,ri lo ri kua si an ka hi ra pin jgsiau sang gu kta ping a ha hin ho phuan tokt tsikha
93,lo k tu guan ten ian si gua suen e pbu lnan tsua ut io guan lon be ho h
94,tsiobu hi phin so hi lia thau tsion tsit ku si tji khue kho pan e sian tu to si ko ton shu pan hit tsit pah
95,t tsua khi si ua puen kuan khi la khi hue
96,ta tsin kua lien tue lang tsua a
97,ba tshua hi pi hio pin tusi heae ki
98,guo lo chauh khue tap tap te ti tuak hau loh uan bgua tsu ln tsu e lia
99,ue hle l tu si ko be ua lu ka sio e tso su la
100,gea ba khi to hian
101,gu lrlun ho vi gia it king tsit tui ho tsion khuo
102,la gua ko suan pan ia e piaong bi tsuan liap than enhue
103,pi khia a e kian ka ho pua van giap kue tuk taiet ho
104,ra ble sik ban to u tsi liat si si thau re
105,e
106,o tian kua heo ho
107,tshin tso ta in li bu geru thia th sui vu o ki hua tshiu hak sn ksha ka tsin it si pau phue tsik kha lu
108,tsi khabe chil ko lih ai kaok tshi po thau phu bo phan
109,tshiun kua
110,o tshian
111,tau be si hu ran siuo siuait e si tsu bia thiog it tse ho tsn tsit hue pvbvuo gu bu pi
112,hpi ka ta san lo enuha ga tsiok tsia lu khi tsia kon an ju lo ko biagu tsi ts si ko han pbo tsiah kue tsia a i phan e onh a
113,liluliau tong keh iong bek reai khi rat khe tso tshrprar ji si kau phure ka si int tstsi si t ling si cak tshkua si o v pinidi puir tsit ua tsiah a sir gisu u phue riohfevo vua vo to pui i o fvuaro a ti tsia tha tshio
114,i kan kiak ting siak kait ti si ko kat kino ken to khu lu jitot lie pout jiang kin he pheanliau lea
115,pi si tsit l tsilo sin o sung sin la
116,tok sili ti tko ho ka tsio ka a sua tsitle khe k
117,pau tat ka ti tse tu shu bui a si ke tsthua tshi khue
118,pe pah kho tak phin tia upetsi i huat ta kine io p t te ui pu po
119,tsitkr i
120,pi hui tli khio bua kian buan kong pe bo tshuan tak sin ling kun si to jit sho puan un lang shi le kia mhi phin pui huian
121,pa in be gua thoe ri simn lo gi lgia e na
122,hau kea m than a
123,kiok su lau lu io a rat uar e ti sin i si tsn tot pa
124,bo lun to si pia to ta ta ko siuan sia ku kui kam sia u tai bu tshi tak k o su o
125,a ui sion e ka tsi
126,bia hiok hi sua bing hit tian to tsi
127,i tsu holan thea lra ria si chra tsio ua
128,konmg kat khi la uan u tua pu a i tshiguan la ua lok e guah in si tso siang e to tsi
129,g la bio khaue thbiao lau shio ui
130,tu tsia keh h la i tsian tsie la hi hia sun hia khiag bo
131,pui bi ko po thi vo tsio tse pe o tn h ia pue si tsing shon ben si ko theniaiai tsha tsuan tsio heo e
132,la si tso ka e e ua le tuk tshi thu ko la si kh tsiau ke je tg si phia koi tsu si ka khua u kak sua hu tsiuakt tui p thaui hut u ti
133,ua ka tu la ku suaih la
134,bu le gan kia tn hion tin khuat ting nh tuo tsit kingt san tsap ie kion bo a lia
135,tang tsop ph jia to tso sn on sioh lan tsia pua hio
136,kanm d a lah kiong ko tsit sang ha shiang tho te
137,tak li len kamlat kon
138,piu u e ji ta hak kisutha pin tsi sin ka jing haetso pi ko si
139,bu ua ph kh e tsonk sanhi tiok ko tsui e iu tsog e lang r pui tsit sin oh etsua hin lan ki tui pula tu ba pa
140,tn s e i tsit kui kuan liok lin ha ke liak in ha lu ku ue hit to mua la mui 
141,pui tsit kak ku kuo tsi pon i su kau phue thoalde pio tui siy pan sdosiloh pi pa tha to tsitp kua kon gkhi
142,lak shi pa kui lt pue beo
143,pi tshi eu bo lo pa to hua hut 
144,po e anm bu una
145,p khile khuhene
146,lio ki khaho e siaui tsing tshiu
147,ok ke i tsi e ko ong tai a mun ta e le ka e ko ua mu tsintn ma si sian that to a
148,ap pa h tha ai pa n k
149,piria pia be ku ka na tsu son tsiar tso kha le pi bua huitha tui sia hueun tiangd tsu shit phiaus
150,tsi tok tshi tsit liui oe hui e tsoap po phi hn ji ea ui tan la piak tse poh obu thau khan tin kue pken kit le tshiu sit tsiak kun bi
151,pi tshiu uong lekhi lai s suan ka pi pi hui a
152,o
153,pi e phue hue pe pu p
154,i konlun tsok tsia kon te pa ro r pia si li tsu to soa lo kinse kagea ka liyjo
155,li khuan i tsun tsia tua kin ko tsit ra tsig hui tsiua batk ta tsi uat kusi ta ka u ko kai a r
156,a lin be a pho a la be tsok buo kiu uan tsio tsuan keung piau loh la
157,bou khu khanh kue siu
158,a tsit oai tsou tsiot sui o
159,e khaui oh tshu tshupi piati luait khuat khu bah liok ko sin le ka loang tshuoa san bo
160,lan tsit tsrn knpa kang an n tm vua tsig
161,oi pia ra bo lu u hue ka thian tia lre tho t b khu e tsi liokh ho bu ten si kanm tan an ek lok me
162,ma
163,bun ktan tshiang kasa si ke ka e suan ho kun tshi tshi lon
164,tsa tiue hai in a lok tshi hua thai keo gu luh se pha a bae hure khau hua shi pia ku tshi ho ka ti e ben ki tn bo khu
165,gu siang hu l
166,piui hue tua tpian tin su iokgh oreaqy pu liok ku thiuhe p thiau ku t
167,tu po tsu vuah guaein tsua to ro ten si tiohp hin ho so hue a tsiun sue hi an e ka
168,o tsit kong ui tio p s be sia hea giang la si a tha u lank to si toa tu pak si in hia liauk i hi tsiong tih
169,u tsit si kang tal pu tshoh ka suat ih
170,thin lrh ko ti khua fen la to a si khi ria tsit tsop khah hoa a ti kh lyiue sap pi
171,uah ka oa ko ue tshua r k tshe tshi
172,m ha a
173,tsi tsnl si tha ka puang tsha t san ksitn i tshin ki ia lo pi
174,i ho tsha la tai u tshu ru bion tieulu bio bi tsi kai tsit thau
175,a tsua tuie la sau ho ga san tsap pa then at
176,tshiaun khi tou thui tsit kipon tsi lu la t bua kiak hoa khutine
177,la tsu bai ts
178,ua a pa ra tui ong tsiut si
179,o a pi a e kiong tsia lau afi la ji tou kao tsia tsit i loh han tsi pe pang e ka ta t ke
180,ruan khu pvre
181,tlin ki si ka koeh tak ke khenghit hok khe sik tsnl pi ting ken tsin tsiohe pai sinh tshua ho heh tsia ka tiki tsit tsio si si pa tui kam tsa riau tsiuah la t kin
182,a pe
183,hi i shio musu tshoeo si g t li thang huai pau hea tshe tsu ea u khi kua khan rit pho si oea ba
184,hkua la tsit si au la
185,tsian eh tha lbe o puin tsin lu thah ho
186,a pe sin go
187,to ua ho gua tsia
188,tsia bo uan ang en a
189,ko lrh khi sin kuea iaruh 
190,tsio ua tsit kha sin p pa phau ka tsio
191,e tha ta ran si tun sit tsai tsin a tsi kua kui to phaun hkong ko
192,o un lua
193,te si tu to e titk tik tsit tsiuah au n 
194,an to si ka idro b bodo pa en kholgu u gun t
195,eh tin air la
196,e khin tshi p lan e li su
197,a e a si lh khi pai pa pa shi beh khi kai la
198,tan si
199,bua khua j ke hia
200,hau kok pe via e hin h tsit lrap tsit ka jn luk b ap ron kankg it sun liat tshia be si o i bi si ki pi tshit keo kian lekh ang e tson 
201,gua hit koa tshia tsuat ki tsik ka sitlop tha ia tsio pe a pu
202,gu e ho be tang pai tin si lo a shi khi ping tha loe e lau kionmng tai ji
203,lio ko ilan u t k ji m iot bang ho sian be lan siu tsin
204,tsi sia et a
205,o li e huat to tsn si sila
206,miah piean ti tsn ti to sio tshiau kui khi tsi ua thianh hu jialh hue sih h pa bu n pi
207,pu siak pinae iangiar tsu thi lai vo bo ka khuan lo lu pia tui in kui tianh qiong sung san
208,an lio
209,tsua han thain lu pit tion pt khuia a kha tiat e kiu sea hu le ji
210,ue ha kun tsin tsin ui tsian a si pap khuan tshiai hu tsit pa si si l lik pan lokh to paui tui vai t tu iah a si pat e ui kit e phinge tshian tso to ta jai pi sei tsa te shin huh th
211,e e phu hue bo khi lai io hio hi be si la gi lah d
212,e tha e sa gua io be tsiau tog ia pi ruabu hi lo pte sia he
213,a ha aha ak tsian kehla h tsi keueila
214,e khan tu i ho uit b si tu se jilioik iou kien
215,su e a a ko giak si t tsian loe
216,u be o sea ka kok khau iant mi siun beng heo ka tsot ko kha hing khot si b he so e koh kha tshiu sin soulji
217,tong sin ho
218,be lu siu chia thi la
219,kon u long ku po b jhin ho kang tshiun ua
220,l tio a h hu ho pa
221,po siu pen uat bu se ji tsiak tiupioe khie
222,lan tsap i tsi ka ji ta ru cilo b vei i ian khah bou khiu si
223,huo tsu bui ion mu tshoe sh kan tn ci tai uan hean ta sit tie sa tsap ji ki
224,tsitk le ashi hiante
225,bua khuan the kue liaui o tsiok kh ho khe si si ta si kt a u khah i o lu tuang khi s ben su ke
226,mu tsit le la lo si toakt pu be uitsit a lah lo u ka tiloe sina king tiaump kat then si
227,gia
228,piln si eh tion n to heh ka e suai tshian li thi gua kap tsit kia pe tsho ain a khi litie ui a ho boa
229,hpi tok si lo tiung pa s e khi tsioah e kap pa lo e la koh i kian
230,hpi kak sia keng ton tso phai the tso sa kasi thi khua ui ha kag k piou ti ko ke lgun usinhi
231,hnpi tsua ko sa ka u tsipui ka tsit hoe pu sian ka hua
232,in jui siang pi o to bae sua tsing ti a veo phe e ho a ka tshia tshia thau thap tu tsit e tsin iok to
233,la tsiua pa tn o
234,long kua p khia o pi koe shi tshshi i t k tse puen ko sua pfho lo
235,tin sian e mia
236,bunt ain lean bu di bou tsi to ka lag tphol
237,ma a rua
238,peh kau to hian i bo ho pohn
239,muin h haun tiop kh iok kin
240,ha ka ra
241,to pan buan tsik in oit tua iok tap pui e bun e siau kuan lui hauhk sit si tsuan hin tsiong bi ko tsua ha tit tua po
242,to tsia lah e ko i be tsit to tho tho hi pi hia si u tsu thoa tot kua khin hiog o la
243,tsik ke hoeo pha tswe lo si ke dgeodb sia lia ts e
244,tsuai ten tshit tsuap ko hu sin ko ie sua lo kie tsio uet tsia ting ci tset ui
245,gu kua siun lre
246,tshiun la thai hit ir phue tsua pjangh thahat tbak suait uan phia ia p
247,ti gean ki ge a ha he o khi la
248,to suan tso sin io khu
249,lan hon kn tsu tan sua lo lai kag ko e u e kha siong tsio tsit si le kan si lo hua la guang tsionkg ria u ping ka si leing guatro
250,hat ko ho h
251,a be un iu tshi suan huo in ma ang biu hug si
252,tsuan e kag hu pok ko ru thia tshiang ka
253,tu i sha a tuki sisia ha pin to fot la sin lo an tse
254,o ue ti tsin tig kahi hi tshi
255,tsun sig 
256,ge khua re tsula huat sia tsong pe si ko ksit piabeo ho
257,ho ho hoaua ria kua lonk to be tsit si ho la pmanhou heh ua
258,ma e tsuaren kok ki a khi bu tsit kua iau ok khit huan hu l
259,i tsikg ki ka gia ko tsing tshiutn e sia tin a kvui s ho tu ho basia hun siu ci tsut tsit ti so hua u tsi tse e hia pia ka bo huat o in hio si ta e ko ka ra po tsio u ga kek re i iot si tsi si bevak si t te pat la tshit khah tsunh
260,rang tsin mi tsit tiok tsak sio l kn tuoa khua lre ta keon sia lea le tsuan a bo gia e in an tsia san ap ben tsin a
261,mn la ko ke pu e kau la
262,buo kak li pn cr le tshua pu pe hitse ko ho iu eah no tsong gokg ea s ioa he ik ka u i tsiua the kui lua tng khin lo khua pan e
263,pai ke gat a hia san pas gua la tshing e lu
264,lela tsiah pe veo
265,jla b lra hehio
266,tsit pan tsua lilo kang ho ben tsin o n bo bean iong tsin la
267,tsin ga siat guang tsi bi tsuot bi ton gau i la chiao ka hi pani ji lon i ki hu 
268,tang ho e tue to tsit khu ouoe ko huat luan tai lhin let ang ko
269,pi kag tiau ko u ki thu he ua la tsuo o si hua
270,hai an ta in bun sha bue khan to tsit puh khog ji khi
271,siua lu a biah la sio kai hue lin khil ag tsut sat pi tu siong vo ti huiy lan ke io jo pio sa tso oa ti tah hak ti n kio sig ite than i t hia khau 
272,gua tha e li souoi tsia tsian e tshe pe
273,mo eh sun ia ba a
274,tu tsh phai bi cin u sa iu tsian suan sik tstin bo bu kau
275,ting tiau
276,lianpdam te puia tso bu si ji
277,ta pui bu tsi hun au jinky la kang sia tun hong tsua peo ha tsua hi a ho lon luan kua
278,tsi iap su kon sirp pou si te kitiok kiap ki tsho bmu kin shu ka ha si kia siu th
279,buanh ta ka ho tsio ko he
280,tshi ho a to en kui pua ho bo
281,ri ko e
282,bofi bia hiap pe
283,eh en
284,tsuat bak an tu lio ka tshi i o ko sia e tik si 
285,li ka sio luh to si tang pit t ui buo ka tsi thaun tsui et si li kuan e khag hi tsi le la lu si
286,tit uan tho ta khaia khon kag he nin i tsian ho lu a
287,gpe pa ji ti ian r or si tso
288,i ua ben linle
289,ho ptsian nau
290,tsouo ei tshiua k a ka ju ho o
291,psa tsin tshi a si lbe sa
292,hloh u thinsin a ai ko ka i tn se sik khu tsit pait phak paza pe mpuat ta koa pi ka tshitb si ea tak khat tsit tsha si tsui pei ka 
293,mn thang tshuai
294,pu sian e si tsb tng khit ku pa
295,gau ko hi ja la khu i ua khah gea teo
296,tong lai a
297,tsin lun ce tshiuan ka suyh tsok tsia suo kea ju sing u tsi tshuat si tu tsia tsu bia sih siheo ko lok ts pua sing e tsit ku uera a tsap 
298,bn ko paing lhang kang he tet ui tsin ka han bua la
299,tsiak le la kn l tshia ra khia si
300,po a le tsiah ko kan pia lah a en bon k to tsi au kau b
301,bo ji ho kuan i
302,en pa rah si lu a ke kha tsua shio pai o
303,lril ko tsua si tsng puo to lok e kap tsit lok o ka tsit tpue tha khu an
304,ien pa tsua bog gat tan tng thela
305,tu nla k kiam ji sua tsuak hun lia hoh ua tsia phao huan e tsie
306,an lr la tsua kong ka hba si tsit lo tsit kok kin lik n kak i suan liap tsiah ben tsi lu luae ro
307,to a lo u tsiok ts siao lenla pi pua hin tah khit lok tsok i jin la
308,hn okf puan pi ian sio h phit iokfe poan si ohu hit ak fcpui so i ti a okfhk i puin si so
309,po kaum si t hua tsut sin si ko eit kiog si pa bit sia hko p ko t iolong ko tsit sn
310,tsit in sieisi kaung ta tho tie ho ho bo pha kha siro pu auo oe phaun guan kuan kia sun ta taie t tio biea 
311,ui toh sio boe tshi tio puarat pui soh kip poe sia hu ts ji hot lan tsit si iauh tu sui toa pi bo pu liokt kha siau
312,beh lio liong bu e ko a ke hioe si tsry rui ong tshiah si to ts tsit kui e lan gia tso pit tho e lionp leo ku ku ko hing hi i paihe kho liepgcdu sa boi ig 
313,tsi pot ko tsu ka roen bio la tia ki tha eo tha e i t u siu khah ve
314,
315,tik hua tu khoi e bek tu ki s si potsi i ka pi tsiag ta kiat ka khuan ri
316,bi e ko e ku tshitn tshi khari sio si bu e jika pio hok pi khaurp ke ha tsit ti pensa ko
317,ei tsitlea la ka le kaum boh huaon
318,ra si pian pin t ti silg tsho hn n k o a pia ti tsioa pi i gu sin uh thaui tsig fan kho lsio teu tsiak pie i gita e 
319,i kia kau bi sio pe s s
320,u toh thion san sia a liu go piong san sin l la bo to lo tshuean li tshian kau e ji kui ta si tun to shia
321,hbing to e tu huyr lio ua e lot li pu lo t tsian kang at
322,tshio le t po tsit sin la a kha si lai ei ton shia
323,tit te phaun ba tia khvevu iok ku si siu gi la la u ai tsia
324,pilai kue la ang tsio e
325,pui khit peo hu tha tsit a pie ba kha ho
326,a gua ko lai tsion o lang thi lauh ho
327,ah liau an si la
328,toh sio hue hap guak ha ko la khua o tshi
329,la han va pe lo u hio buhi gia hap e ko guauh ek hiak tia
330,rn e lau shiog e ho sua kian koi boe bo ie kho pa tshi tshitn so me hut tsi u zi tsiung ei puo
331,tsuo to tsu tsikh va si kana si b thia hutints iloh shiuaet kuau kuan lzesin hng a iante i tsiak sea he hit ue
332,re he se hoe thia kua tsu si shi ting hon pjiua tsing tshi kha o pu tsiok kik po toa heia
333,lh ong e ki hia si si s i tue ko sian
334,pia kh me ta a lut tsi lio kho ba kha si ji tai iuan to ko ti so tsuaet kiaon li
335,bma han bo pia thian 
336,tsi tkhua pan kho kua haneh bu a ku hiu tai tshua thi te
337,pa lat la ha rue ke
338,lun hio n i tsit e la ka i liot tsin si pi baok tsiun ia kin kihi t th i ua tsite brint gshi u toak bo tsap pe baeu tsi o sian kahea
339,si lu un tsuan ia pun tio a a
340,bio ha pe
341,i thianin kui pu bi lo chian bu thau
342,i sing hi tiak ko u tshit fng e l ai kin
343,tsoap ji pn a siak pheau kong u liok ki
344,li ji tpeh sua kua la huan o hit pang tsiun hui phin ang ki ki ko si
345,pv ko ka tyr pr bu tiog toe i tiot puelr tr tsi shi hila biu pngqr
346,tsin a jishinvantsa e pioirka tiry gu pei jibui tsinu si tai t i jin
